STATE	SALARY
New York	118,450
Mississippi	117,300
Massachusetts	115,000
California	114,500
Georgia	110,400
Connecticut	109,250
New Jersey	106,950
Illinois	105,800
Alabama	104,500
Montana	103,250
Indiana	102,100
Rhode Island	101,800
Virginia	101,200
Maryland	100,800
Hawaii	100,750
North Carolina	100,500
Arkansas	100,450
Missouri	100,100
West Virginia	99,550
New Hampshire	98,900
Michigan	97,750
Washington	96,600
Tennessee	96,150
Ohio	95,850
Oregon	95,550
Florida	95,250
Texas	94,450
Iowa	94,300
Vermont	94,200
North Dakota	94,000
Delaware	93,400
Nevada	93,150
Wyoming	92,850
Oklahoma	92,000
Kansas	91,450
New Mexico	90,850
South Carolina	90,550
Minnesota	90,150
Maine	89,700
Wisconsin	88,550
Kentucky	87,850
Pennsylvania	87,100
Arizona	86,200
Utah	85,950
Colorado	85,550
Louisiana	84,100
Alaska	83,400
Idaho	82,800
Nebraska	81,650
South Dakota	78,200
