STATE	CODE	TAX	COST OF LIVING	SALARY	ADJUSTED INCOME	REGION
New York	NY	13.72	135.7	118450	75312.2	Northeast
Mississippi	MS	12.21	85.7	117300	120160.64	South
Massachusetts	MA	11.61	133.8	115000	75970.48	Northeast
California	CA	8.77	138.7	114500	75312.44	West
Georgia	GA	10.54	91.2	110400	108293.68	South
Connecticut	CT	13.85	128.8	109250	73073.66	Northeast
New Jersey	NJ	12.87	122.5	106950	76069.82	Northeast
Illinois	IL	14.89	95.7	105800	94092.35	Midwest
Alabama	AL	9.4	89.5	104500	105784.36	South
Montana	MT	7.29	104.0	103250	92041.42	West
Indiana	IN	11.86	90.1	102100	99878.96	Midwest
Rhode Island	RI	13.69	122.5	101800	71725.37	Northeast
Virginia	VA	10.87	102.0	101200	88430.94	South
Maryland	MD	11.96	131.3	100800	67588.97	South
Hawaii	HI	10.33	190.1	100750	47523.68	West
North Carolina	NC	10.64	94.0	100500	95539.15	South
Arkansas	AR	12.3	88.4	100450	99654.58	South
Missouri	MO	11.28	88.8	100100	100009.82	Midwest
West Virginia	WV	10.39	94.7	99550	94199.32	South
New Hampshire	NH	10.27	109.3	98900	81192.1	Northeast
Michigan	MI	12.81	89.3	97750	95440.34	Midwest
Washington	WA	11.68	109.5	96600	77915.18	West
Tennessee	TN	7.98	89.5	96150	98857.24	South
Ohio	OH	13.09	92.8	95850	89766.42	Midwest
Oregon	OR	9.2	131.2	95550	66127.59	West
Florida	FL	8.83	98.9	95250	87805.28	South
Texas	TX	11.04	91.3	94450	92029.27	South
Iowa	IA	12.92	91.8	94300	89451.46	Midwest
Vermont	VT	11.04	118.7	94200	70598.42	Northeast
North Dakota	ND	9.84	98.7	94000	85866.67	Midwest
Delaware	DE	6.11	106.0	93400	82729.49	South
Nevada	NV	7.44	108.3	93150	79611.86	West
Wyoming	WY	7.45	90.5	92850	94953.23	West
Oklahoma	OK	10.75	88.1	92000	93200.91	South
Kansas	KS	12.42	89.7	91450	89288.64	Midwest
New Mexico	NM	10.82	92.8	90850	87306.07	West
South Carolina	SC	9.02	98.3	90550	83807.11	South
Minnesota	MN	11.57	101.5	90150	78541.52	Midwest
Maine	ME	11.75	117.2	89700	67542.88	Northeast
Wisconsin	WI	13.62	95.8	88550	79842.89	Midwest
Kentucky	KY	12.06	91.8	87850	84156.09	South
Pennsylvania	PA	12.45	98.6	87100	77338.79	Northeast
Arizona	AZ	9.5	97.7	86200	79847.49	West
Utah	UT	9.23	98.2	85950	79446.86	West
Colorado	CO	9.27	105.5	85550	73573.0	West
Louisiana	LA	10.39	93.6	84100	80514.97	South
Alaska	AK	5.67	130.6	83400	60238.3	West
Idaho	ID	8.48	94.2	82800	80444.33	West
Nebraska	NE	13.83	93.3	81650	75410.29	Midwest
South Dakota	SD	9.75	98.5	78200	71650.25	Midwest
