STATE	TAX
Alabama	9.40
Alaska	5.67
Arizona	9.50
Arkansas	12.30
California	8.77
Colorado	9.27
Connecticut	13.85
Delaware	6.11
Florida	8.83
Georgia	10.54
Hawaii	10.33
Idaho	8.48
Illinois	14.89
Indiana	11.86
Iowa	12.92
Kansas	12.42
Kentucky	12.06
Louisiana	10.39
Maine	11.75
Maryland	11.96
Massachusetts	11.61
Michigan	12.81
Minnesota	11.57
Mississippi	12.21
Missouri	11.28
Montana	7.29
Nebraska	13.83
Nevada	7.44
New Hampshire	10.27
New Jersey	12.87
New Mexico	10.82
New York	13.72
North Carolina	10.64
North Dakota	9.84
Ohio	13.09
Oklahoma	10.75
Oregon	9.20
Pennsylvania	12.45
Rhode Island	13.69
South Carolina	9.02
South Dakota	9.75
Tennessee	7.98
Texas	11.04
Utah	9.23
Vermont	11.04
Virginia	10.87
Washington	11.68
West Virginia	10.39
Wisconsin	13.62
Wyoming	7.45
